epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2226.68,2.75346,2.27142,1.10936,0.67379,0.27681,0.29545,0.13378,2.62375,2.21496,1.12601,0.0007294,0.0007294,0.0007294
43,2280.35,2.75604,2.29994,1.12859,0.66204,0.27909,0.29857,0.13941,2.59092,2.00511,1.09397,0.0007228,0.0007228,0.0007228
44,2332.33,2.77101,2.27922,1.09385,0.6591,0.2749,0.29446,0.1377,2.62165,2.00053,1.11247,0.0007162,0.0007162,0.0007162
45,2386.37,2.77547,2.26911,1.10114,0.66,0.28403,0.30238,0.13827,2.60313,2.0886,1.10031,0.0007096,0.0007096,0.0007096
46,2438.19,2.66493,2.22316,1.09801,0.65515,0.28289,0.30424,0.14332,2.57623,2.05034,1.09699,0.000703,0.000703,0.000703
47,2492.26,2.75166,2.27286,1.0981,0.69078,0.28795,0.30687,0.14154,2.5831,2.00652,1.09181,0.0006964,0.0006964,0.0006964
48,2544.94,2.61135,2.18031,1.09337,0.64318,0.28973,0.30436,0.14417,2.57491,2.04994,1.11545,0.0006898,0.0006898,0.0006898
49,2598.33,2.62101,2.15032,1.08161,0.62989,0.2924,0.30671,0.14404,2.53468,2.025,1.09979,0.0006832,0.0006832,0.0006832
50,2650.6,2.70405,2.28927,1.09419,0.68201,0.2924,0.31068,0.1432,2.53495,2.04555,1.07713,0.0006766,0.0006766,0.0006766
51,2703.7,2.70328,2.24592,1.08838,0.65783,0.29544,0.31426,0.14331,2.57205,1.9704,1.09389,0.00067,0.00067,0.00067
52,2755.7,2.6803,2.21376,1.07273,0.62441,0.28319,0.30168,0.14318,2.57016,1.98389,1.08598,0.0006634,0.0006634,0.0006634
53,2809.58,2.73247,2.26306,1.10544,0.66772,0.28897,0.30773,0.14383,2.59801,1.97728,1.10972,0.0006568,0.0006568,0.0006568
54,2861.29,2.62159,2.20269,1.07039,0.69841,0.28897,0.31313,0.14993,2.54378,1.90552,1.11755,0.0006502,0.0006502,0.0006502
55,2915.27,2.71722,2.27281,1.09346,0.68182,0.29886,0.32156,0.15609,2.52156,1.92391,1.06534,0.0006436,0.0006436,0.0006436
56,2966.45,2.66112,2.21634,1.08519,0.68144,0.30532,0.32407,0.15597,2.51494,1.93752,1.07625,0.000637,0.000637,0.000637
